image,detected_word,confidence,yolo_detected,in_vocabulary,category,level,yolo_time_ms,knn_suggestion_count,knn_same_category_count,knn_category_precision,knn_success,knn_time_ms,kmeans_cluster,kmeans_cluster_size,kmeans_same_category_count,kmeans_cluster_purity_for_word,kmeans_success,kmeans_time_ms
test1.jpg,laptop,0.9393454790115356,True,True,Technology,Medium,1712.337200064212,3,3,1.0,True,142.28910009842366,0,4,4,1.0,True,9.30470007006079
test10.jpg,laptop,0.944168210029602,True,True,Technology,Medium,64.3605999648571,3,3,1.0,True,3.482599975541234,0,4,4,1.0,True,3.0179000459611416
test11.jpg,cup,0.9776395559310913,True,True,Daily,Easy,80.47520008403808,3,2,0.6666666666666666,True,3.252799971960485,1,3,3,1.0,True,2.9633999802172184
test12.jpg,chair,0.82410728931427,True,True,Furniture,Easy,115.60069990810007,3,1,0.3333333333333333,True,3.4546999959275126,3,2,2,1.0,True,1.8779999809339643
test14.jpg,none,0.0,False,False,Unknown,Unknown,82.0407000137493,0,0,0.0,False,0.0,none,0,0,0.0,False,0.0
test15.jpg,laptop,0.9317354559898376,True,True,Technology,Medium,71.0091000655666,3,3,1.0,True,3.2307999208569527,0,4,4,1.0,True,3.082099952735007
test16.jpg,cup,0.860016405582428,True,True,Daily,Easy,62.745200004428625,3,2,0.6666666666666666,True,3.4082999918609858,1,3,3,1.0,True,2.1001999266445637
test17.jpg,chair,0.8375253081321716,True,True,Furniture,Easy,54.0528999408707,3,1,0.3333333333333333,True,3.2538999803364277,3,2,2,1.0,True,3.4556000027805567
test18.jpg,cup,0.8947716951370239,True,True,Daily,Easy,79.2936000507325,3,2,0.6666666666666666,True,4.621799918822944,1,3,3,1.0,True,3.9859000826254487
test19.jpg,person,0.9080617427825928,True,True,Human,Easy,136.5440998924896,3,0,0.0,True,3.7478000158444047,2,1,1,1.0,True,3.6353999748826027
test2.jpg,person,0.9401604533195496,True,True,Human,Easy,65.81569998525083,3,0,0.0,True,2.457599970512092,2,1,1,1.0,True,2.400500001385808
test20.jpg,none,0.0,False,False,Unknown,Unknown,62.561400001868606,0,0,0.0,False,0.0,none,0,0,0.0,False,0.0
test21.jpg,chair,0.8866896629333496,True,True,Furniture,Easy,81.81230002082884,3,1,0.3333333333333333,True,3.5786000080406666,3,2,2,1.0,True,3.2236999832093716
test22.jpg,laptop,0.9347085356712341,True,True,Technology,Medium,77.69429998006672,3,3,1.0,True,3.6961999721825123,0,4,4,1.0,True,3.6487000761553645
test23.jpg,clock,0.8909844756126404,True,True,Daily,Easy,84.69280006829649,3,2,0.6666666666666666,True,4.0016999701038,1,3,3,1.0,True,3.7176000187173486
test24.jpg,clock,0.7855512499809265,True,True,Daily,Easy,95.03650001715869,3,2,0.6666666666666666,True,4.73659997805953,1,3,3,1.0,True,4.284499911591411
test25.jpg,bottle,0.8758756518363953,True,True,Daily,Easy,74.86539997626096,3,2,0.6666666666666666,True,5.368500016629696,1,3,3,1.0,True,4.824599949643016
test3.jpg,cup,0.7657653093338013,True,True,Daily,Easy,106.81229992769659,3,2,0.6666666666666666,True,4.074099939316511,1,3,3,1.0,True,2.665099920704961
test4.jpg,bottle,0.9606438279151917,True,True,Daily,Easy,85.7578000286594,3,2,0.6666666666666666,True,4.230599966831505,1,3,3,1.0,True,3.8979999953880906
test5.jpg,none,0.0,False,False,Unknown,Unknown,116.39790004119277,0,0,0.0,False,0.0,none,0,0,0.0,False,0.0
test6.jpg,person,0.8135737776756287,True,True,Human,Easy,82.33650005422533,3,0,0.0,True,3.9351999294012785,2,1,1,1.0,True,2.9534000204876065
test7.jpg,person,0.8981921672821045,True,True,Human,Easy,100.23219999857247,3,0,0.0,True,3.316999995149672,2,1,1,1.0,True,4.034099983982742
test8.jpg,chair,0.915429413318634,True,True,Furniture,Easy,95.45440005604178,3,1,0.3333333333333333,True,3.677799948491156,3,2,2,1.0,True,4.566399962641299
test9.jpg,laptop,0.9770948886871338,True,True,Technology,Medium,105.88369995821267,3,3,1.0,True,3.4187999553978443,0,4,4,1.0,True,3.698799991980195
